comment,Sum of profit,Profit Factor,Sharpe Ratio,Recovery Factor,Win,Loss,Win Rate
m2_3S300TinfTS21,40.88,1.474907063197026,7.073170653638918,13.187096774193483,31,33,48.44%
m2_3S150TinfTS21,26.85,1.24020397208803,5.962445274039733,5.966666666666624,30,77,28.04%
strategy_28.py,56.47,1.146682944568549,15.17375193350788,5.7505091649694045,122,131,48.22%
m2_3LH1021_ST150,22.53,1.1358866103739444,14.593392728303325,4.383268482490299,125,106,54.11%
m2_3LH_1021_t350,11.44,1.0489160644802669,3.548470297491568,1.884678747940699,75,76,49.67%
m2_3LH_S150_tinf,8.87,1.050857175620664,3.803112892537494,1.883227176220807,61,109,35.88%
m2_3LH_1021_tinf,6.9,1.0294469102082622,2.0652273685721902,1.140495867768593,74,76,49.33%
m2_3LH_1021_t150,11.06,1.0584875727128504,5.146579784350715,1.0483412322274956,131,62,67.88%
Python script or,5.34,1.0624050484983054,1.7723187195889782,0.7841409691629955,39,51,43.33%
strategy_13_demo,5.27,1.011332358506795,1.6799542589152046,0.21173161912414679,153,153,50.00%
m2_3LH_1021_t300,-0.51,0.9978771228771228,-0.16741119971212604,-0.08279220779220813,81,78,50.94%
m2_3LH_r150r200.,-2.93,0.9836850604153906,-1.6365149064292224,-0.23859934853420206,88,114,43.56%
m1_3S300TinfTS21,-11.84,0.9347838061140181,-2.6814291883581025,-0.3181085437936593,47,62,43.12%
m1_3S300T450TS21,-11.24,0.9592738867350266,-3.29202586764159,-0.9304635761589385,74,99,42.77%
